name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
StratoSat-TK1,57167,,435.870,,9k6 GFSK,RS52S,BQFG-5755-4293-7808-3570
StratoSat-TK1-B,57324,,435.260,,9k6 FSK LoRa,RS52SB,IIPF-8054-8479-1405-9998
StratoSat-TK1-E,57323,,435.260,,9k6 FSK LoRa,RS52SE,KANX-6033-2616-0861-1048
Suomi-100,43804,,437.775/2410.000,,9600bps FSK,,MUVJ-0454-0662-1172-2559
Svyatobor-1,57187,,437.875,,2k4*/4k8/9k6 GMSK_USP,,LWVG-4743-3629-4474-1375
SXC3-216,53376,,435.670,,2k4/4k8*GMSK_USP,RS23S,YOQT-9019-0118-9280-5437
TechSat-1B,25397,145.850/145.930,435.225*/435.325,,9600bps FSK,4XTECH-11 12,FCHF-0545-3706-3789-8061
TEVEL2-1,63217,145.970,436.400,,9600bps BPSK FM,TVL2-1-1,TJDQ-0178-9438-9402-8155
TEVEL2-2,63219,145.970,436.400,,9600bps BPSK FM,TVL2-2-1,TEEQ-9120-3378-4148-7582
TEVEL2-3,63218,145.970,436.400,,9600bps BPSK FM,TVL2-3-1,HOVZ-3709-8195-4274-1541
TEVEL2-4,63213,145.970,436.400,,9600bps BPSK FM,TVL2-4-1,FVND-4948-5613-7394-9932
TEVEL2-5,63214,145.970,436.400,,9600bps BPSK FM,TVL2-5-1,VYVA-6255-9438-9598-3516
TEVEL2-6,63215,145.970,436.400,,9600bps BPSK FM,TVL2-6-1,TETG-4546-2995-9890-0055
TEVEL2-7,63238,145.970,436.400,,9600bps BPSK FM,TVL2-7-1,UAJW-1753-5711-2656-8187
TEVEL2-8,63239,145.970,436.400,,9600bps BPSK FM,TVL2-8-1,XCLO-3560-6764-5044-2622
TEVEL2-9,63237,145.970,436.400,,9600bps BPSK FM,TVL2-9-1,YEOH-3929-6205-1615-7126
Tianyi-2,43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,,RQIQ-3113-9381-2241-7916
Tianyi-4,43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,,DWZS-2247-2262-5163-7605
TigriSat,40043,,435.000,,9600bps FSK,HNATIG,XCTT-8747-8578-2256-0351
TUSUR-GO,61782,,437.730,437.730,9600bps GFSK CW,RS78S,RUKR-0716-8781-6957-0828
T_MicroSat-1,66766,,401.025,,9k6_GFSK,TRON1,
UmKA-1,57172,,435.825/437.625*/2402.000,,2k4/4k8/9k6*GMSK_USP SSTV,RS40S,SDUV-9624-5611-1090-5908
UND-ROADS-1,64535,435.400,145.900/435.400*/2401.875,,1k2/4k8*/9k6/19k2 FSK Digipeater,,CGQM-1404-3051-5125-7571
UND-ROADS-2,64549,435.400,145.900/435.400*/2401.875,,1k2/4k8*/9k6/19k2 FSK Digipeater,,BZMH-1691-0385-6822-7921
UniSat-7,47945,,437.425,,9600bps GFSK,II0US,QKBK-9080-1354-2848-1016
UTMN-2,57203,,435.485/436.125*,,2k4/4k8*/9k6 GMSK_USP,RS27S,ESPB-1611-5692-0685-8383
UVSQ-SAT-NG,63251,,401.850/2208.000,,9600bps BPSK FM,UVSQ,MBHE-2044-4906-7895-1280
UWE-4,43880,437.375,435.600*/437.375/437.385,,9600bps FSK Digipeater,DP0UWH,WDIT-2736-3800-1720-7555
VELOX-III,41935,,437.375,437.375,1200bps AFSK CW,JG6YBW,NFQJ-3321-9747-8579-9505
Vizard-ion,61749,,436.870,,9600bps GFSK,RS68S,SQGD-2208-0540-4983-6683
VIZARD-meteo,57189,,437.825,,2k4/4k8/9k6* GMSK_USP,RS38S,OYGZ-5054-3166-8092-6448
VZLUsat-2,51085,,437.325,,1k2/4k8*/9k6 MSK,,DJWH-7860-9983-7310-6047
WildTrackCube-SIMBA,47941,,435.310,,1k2/9k6* FSK,,JHGM-7853-8293-9677-2181
Xiaoxiang-4,43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,,DWZS-2247-2262-5163-7605
XI-IV,27848,,437.490,436.848,1200bps AFSK CW*,JQ1YCW,KZUI-4275-4790-4963-1514
XI-V,28895,,437.345,437.465,1200bps AFSK CW*,JQ1YGW,IYDL-1832-4040-0556-1587
XW-1,36122,,435.790,435.790,CW,BJ1SA,JJGC-7637-4682-0934-3692
XW-3,50466,,435.725,,4k8*GMSK telemetry,CAS9,WMPC-3806-8308-1122-5138
ZACube-1,39417,145.860,437.355,14.099,1k2AFSK/9k6* GMSK CW,123456,GRVM-9505-5712-0753-7014
Zorkiy-2M,57177,,401.480,,2k4 GMSK_USP,ZRK2B,AMWD-8238-3001-8498-3030
Zorkiy-2M-2,59064,,401.027*/401.070,,2k4 GMSK_USP,S3806A,YKBC-6296-0803-1334-4704
Zorkiy-2M-5,67295,,401.165/401.230*,,2k4 GMSK_USP,A0X9A/9B,
Zorkiy-2M-7,67268,,401.017/401.245*,,2k4 GMSK_USP,A0XAA/AB,
Zorkiy-2M-VPE,67252,,401.180/401.212*,,2k4 GMSK_USP,A0X8A/8B,
