name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
CSTP-4.2,64883,,437.240,,LoRa,,
CSTP-4.3,64882,,437.160,,LoRa,,
CSTP-4.4,64895,,437.725,,LoRa,,
CTC-0,62401,,401.500,,9600bps GFSK,WX9XKR,VWXG-4101-0824-5480-8078
CubeBel-2,57175,436.200,436.990,,4k8/9k6* GMSK Digipeater,EU11S,PIHV-8715-3112-5892-6258
CubeBug-2,39440,,437.445,,1k2AFSK 9k6* FSK,CUBEB2,MRQX-2618-0103-4345-3937
CUBEL,47448,,400.575,,9600bps MSK,,HGYE-7318-8290-9065-4147
CubeSX-HSE-2,53383,,435.570,,2400bps GMSK_USP,RS21S,KILB-3720-6406-0699-8042
CubeSX-HSE-3,57178,,436.570,,2k4*/4k8/9k6 GMSK_USP,RS42S,UMPN-9044-0154-0093-6402
CUTE,49263,,437.250/2402.000,,9k6*/19k2GMSK 1MbpsBPSK,CUTE,YMFQ-1347-4330-8510-2436
CUTE-I,27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY,JOVH-8612-8312-2052-1559
CUTE1.7+APDII,32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC,SRMQ-6676-8759-6509-8693
DCS-1,67263,,401.150,2k4 GMSK_USP,,SCA0KR,
DELFI-C3,32789,,145.870,,1200bps BPSK,DLFIC3,TNXT-1653-3073-9102-5159
Diwata-2,43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH,HIEK-3729-5596-2727-4744
Dragonfly,65729,145.825/435.375,437.375,437.375,4800bps GMSK APRS CW*,JG6YOW,DWWV-4312-0144-3164-0720
Duchifat-1,40021,435.220,145.825/145.980,145.980,1200bps BPSK CW,4X4HSL,KVVP-7917-6314-8782-3778
D-Star ONE iSat,43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS,VLTM-4130-8711-4931-9078
D-Star ONE Sparrow,43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,QTXY-8933-7836-7484-6250
Flamingo-1,,,401.050/2240.000,,9k6*GMSK FM,,
Foresail-1p,66778,,437.125,,9k6_MSK,,
FossaSat-2E1,50985,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E3,50990,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E4,50987,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E7,52778,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E8,52779,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E9,,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E10,,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E13,52776,,401.700,,9600bps GFSK 125k LoRa*,,
FossaSat-2E21,64536,,401.700,,LoRa,,RBAW-0155-7922-9410-2702
Fox-1B,43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,PMAW-9203-2442-8666-3249
FO-29,24278,145.900-146.000,435.900-435.800,435.795,SSB* CW DigiTalker,,XTKP-9404-9174-4088-2406
FO-99,43937,145.900-145.930,435.910-435.880,435.900/437.075*,9k6/38k4FSK pi/4QPSK CW*,JS1YAV,MCYZ-8515-1099-2288-3521
FO-118,54684,145.820,435.540,,VHF/UHF SSB bandwidth 30kHz,,THLP-9709-3501-8618-5195
FO-118,54684,145.925,435.600,,VHF/UHF FM bandwidth 30kHz,,THLP-9709-3501-8618-5195
FO-118,54684,,,435.570,UHF_CW,BJ1SO,THLP-9709-3501-8618-5195
FO-118,54684,,435.650,,4k8 GMSK image data,CAS5A,THLP-9709-3501-8618-5195
FUNcube-1,39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,,OTOF-8025-8953-4756-4779
FUNcube-4,43792,,145.895,,1200bps BPSK,,SEXU-2964-9908-3979-4793
Galapagos-UTE,67279,,437.050,,1143*_AFSK 9k6_GMSK SSTV,HC1PX,
Gardens-04,65942,145.825,437.375,437.375,1k2AFSK 4k8*GMSK APRS CW*,,PHOX-2063-1951-4466-3756
Geoscan-1,64880,,435.970,,9600bps GFSK,RS92S1,YHKV-6117-6256-9430-5472
Geoscan-2,64890,,436.160,,9600bps GFSK,RS92S2,WEMP-5992-7749-9773-6718
Geoscan-3,64893,,435.740,,9600bps GFSK,RS92S3,NAYK-9396-4687-3348-2272
Geoscan-4,64892,,435.335,,9600bps GFSK,RS92S4,WVBC-1896-0549-3910-3643
Geoscan-5,64891,,436.660,,9600bps GFSK,RS92S5,NHQC-9171-5329-3956-5220
Geoscan-6,64879,,436.940,,9600bps GFSK,RS92S6,UURX-8785-0574-4809-0080
GOMX-1,39430,,437.250,437.250,1k2/2k4/4k8*/9k6GMSK CW,,ZFJP-4482-3637-6524-3782
Gorizont,61757,,435.430,435.430,9600bps GMSK CW,RS59S,YDID-3447-4202-8525-9942
GO-32,25397,145.850/145.930,435.225*/435.325,,9600bps FSK,4XTECH-11 12,FCHF-0545-3706-3789-8061
GRBBeta,60237,,436.785,2405.000,9600bps GFSK CW,HA2GRB,FVZM-4350-0869-7957-1010
Grifon-1,67281,,401.315,,LoRa,,
Grifon-3,67280,,401.440,,LoRa,,
HADES-R,62690,145.925,436.888,436.888,200*-2k4 USB FM CW,,EIPI-1482-6978-9759-4787
HADES-ICM,63492,145.875,436.666,436.666,200*-2k4_USB FM CW,,TPAP-4475-7915-0965-4305
HA-1,43156,145.930,436.950,437.350/437.644*,FM 9600bps BPSK,BI4ST,YFPC-1248-4077-8296-8715
HCT-Sat2,66671,,436.300,,9600bps GMSK,HCTST2,
Hirogari,47930,436.500,145.900,145.900,1k2AFSK/9k6/13k6GMSK CW,JL3ZKS,ZVPZ-0777-4479-4472-0152
Horizon,61757,,435.430,435.430,9600bps GMSK CW,RS59S,YDID-3447-4202-8525-9942
HO-68,36122,,435.790,435.790,CW,BJ1SA,JJGC-7637-4682-0934-3692
HO-113,50466,145.985,435.725,,4k8*GMSK image data,CAS9,WMPC-3806-8308-1122-5138
Humsat-D,39433,,437.325*/437.525,437.325,1200*bps MSK CW,HUMDE,ISTU-1593-3487-2251-7574
HYDRA-2,,,401.320,,9k6_GMSK FM Music,,
HYDRA-W,63490,,437.780,,200bps USB,,ZMUU-1298-3682-9426-1829
HyperView-1G,61772,,436.540,,2k4 GMSK_USP,RS66S,DQTX-7069-3845-7154-3428
INHA-RoSAT,66653,,437.665/2417.000,,9600bps GFSK QPSK,ROSAT1,QLDP-3783-5419-7098-2257
INNOCUBE,62616,,435.950*/437.020,,9600bps MSK,DP1NNO,IMIN-5614-5566-5816-9152
InnoSat-3,64894,,436.436,,9600bps GFSK,RS92S0,VCOU-5138-4852-6587-2660
InnoSat-16,64878,,435.830,,9600bps GFSK,RS92S7,UBWS-4293-1234-8994-1295
INSPIRESat-1,51657,,437.500,,9600bps GFSK,BCT,KAEG-9794-2542-4829-8548
INTUITION-1,58565,,401.400,,9600bps GMSK,INT1KP,ZPXA-7109-5221-3293-0780
ION-SCV-012,60573,,401.415,,1200bps FSK,,LWDE-7403-4643-6587-2546
ION-SCV-013,58300,,401.415/2265.500,,1200bps FSK,,YODX-5832-7103-0922-4071
ION-SCV-014,62630,,401.415,,1200bps FSK,,JVIJ-4226-9631-1978-7970
ION-SCV-015,58469,,401.415,,1200bps FSK,,BZWJ-9712-5590-5046-8513
ION-SCV-016,62628,,401.415,,1200bps FSK,,TNCA-2269-1089-8167-2586
ION-SCV-017,63230,,401.415/2275.500,,1200bps FSK,,EZAU-8235-2008-4656-9477
IO-86,40931,145.880/145.825,435.880/145.825,437.425,FM tone 88.5Hz/APRS,YBSAT/YBOX,EEIT-0315-8565-1765-1994
IO-117,53106,435.310,435.310,,0k3/1k2*/2k4FSK Digipeater,,KGEF-8685-2681-9687-2264
iSat,43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS,VLTM-4130-8711-4931-9078
ISS,25544,,145.800,,SSTV,,XSKZ-5603-1870-9019-3066
ISS,25544,,437.550,,1200bps AFSK SSTV,RS0ISS NA1SS,XSKZ-5603-1870-9019-3066
ISS,25544,145.825,145.825,,1200bps AFSK Digipeater,RS0ISS ARISS,XSKZ-5603-1870-9019-3066
ISS,25544,145.990,437.800,,FM tone 67.0Hz 9k6 GFSK,,XSKZ-5603-1870-9019-3066
ITUpSat-1,35935,,437.325,437.325,19200bps GFSK CW*,ITUPSAT,FMZT-1887-7286-8009-2095
JACK-003,66654,,436.300,,9600bps GFSK,DS35,
JACK-004,66659,,436.300,,9600bps GFSK,DS35,
JAS-2,24278,145.900-146.000,435.900-435.800,435.795,SSB* CW DigiTalker,,XTKP-9404-9174-4088-2406
JINJUSAT-1B,,,435.185,,9600bps BPSK,JINJUS,
KKS-1,33499,,437.445,437.385,1200bps AFSK CW*,JQ1YYY,BFDT-9094-9258-2665-0692
Kolibri-S,61746,,436.835,436.835,9600bps GFSK CW,RS67S,OVBN-0332-6282-0409-5232
KOSEN-1,49402,,21.125-21.150,435.525,1k2AFSK/9k6FSK CW*,JR5YGJ,NJBJ-3838-9654-0508-8247
KSM1-A,46912,,401.030,,9600bps FSK,,HUNW-6973-2030-4958-5201
KSM1-B,46914,,401.060,,9600bps FSK,,MWRL-6562-0983-3996-2101
