sat_id,norad_cat_id,norad_follow_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,is_frequency_violator,associated_satellites
QIZS-8994-7945-5173-4607,25991.0,,DMSP 5D-2 F15,USA 147,satellites/dmsp-5d3__1.jpg,alive,,1999-12-12T00:00:00Z,,,None,US,[],2021-10-14T08:50:21.352961Z,VK5Q1 and SV1QVE survey,False,[]
QHZO-5950-9827-8337-2626,15595.0,,GEOSAT,,satellites/260px-Geosat.jpg,alive,,,,,None,US,[],2021-10-09T14:50:52.703141Z,VK5Q1 and SV1QVE survey,False,[]
JSVB-5618-9837-5426-1381,24920.0,,FORTE,Fast On-orbit Rapid Recording of Transient Events,satellites/index.jpg,alive,,,,,None,US,[],2021-10-09T14:50:52.725954Z,VK5Q1 and SV1QVE survey,False,[]
PJOY-0550-6470-9256-2782,43197.0,,GOMX4-A,,satellites/unnamed_zkU4v21.jpg,alive,,,,,None,DK,[],2021-10-09T14:50:52.770943Z,VK5Q1 and SV1QVE survey,False,[]
PMGJ-0058-6293-4803-6097,43884.0,,LEMUR 2 REMY-COLTON,,satellites/index_2.jpg,alive,,,,,None,US,[],2021-10-14T08:48:01.762559Z,VK5Q1 and SV1QVE survey,False,[]
CYVZ-9583-0687-3577-9390,42840.0,,LEMUR 2 FURIAUS,,satellites/index_2_AuVYg0p.jpg,alive,,,,,None,US,[],2021-10-10T08:50:00.656100Z,VK5Q1 and SV1QVE survey,False,[]
EFZP-4005-0589-8390-2361,43893.0,,FLOCK 3K 4,,satellites/index_3.jpg,re-entered,,,,,None,US,[],2023-01-01T09:45:39.908560Z,VK5Q1 and SV1QVE survey,False,[]
CIWN-4450-5094-0310-9412,42785.0,,GREEN DIAMOND,,satellites/3-diamonds__1.jpg,alive,,,,,None,"AU,IL,GB",[],2021-10-14T08:48:01.600537Z,VK5Q1 and SV1QVE survey,False,[]
ANTS-7659-6853-4378-3829,42000.0,,DIDO 2,Chen Jiayong 1,satellites/dido-1__1.jpg,alive,,2017-02-15T00:00:00Z,,,None,"IL,CH",[],2021-10-12T07:22:46.958454Z,VK5Q1 and SV1QVE survey,False,[]
DMQT-0684-2532-0143-8815,46931.0,,CORVUS BC5,Landmapper-BC 5,satellites/corvus-bc__1_Yd7IHkg.jpg,alive,,2020-11-20T00:00:00Z,,,None,US,[],2021-10-12T07:22:47.279733Z,VK5Q1 and SV1QVE survey,False,[]
RSTX-6017-6514-0525-3722,43737.0,,CICERO 8,Tyvak 0076,satellites/cicero__2.jpg,alive,,2018-11-29T00:00:00Z,,,None,"MC,US",[],2021-10-12T07:22:47.187735Z,VK5Q1 and SV1QVE survey,False,[]
CDFL-8750-0446-4717-2882,43143.0,,CICERO 7,Tyvak 0085,satellites/cicero__2_BaE0X9J.jpg,alive,,2018-01-12T00:00:00Z,,,None,"MC,US",[],2021-10-12T07:22:47.079169Z,VK5Q1 and SV1QVE survey,False,[]
MVIP-1242-2526-2990-4540,42786.0,,BLUE DIAMOND,,satellites/3-diamonds__1_RbSozNz.jpg,alive,,2017-06-23T00:00:00Z,,,None,"AU,IL,GB",[],2021-10-12T07:22:47.035662Z,VK5Q1 and SV1QVE survey,False,[]
GRBD-3850-1626-5386-3956,46293.0,,"3CAT-5/B, FSSCat B",TYVAK 0162,satellites/fsscat__1.jpg,alive,,2020-09-03T00:00:00Z,,,None,ES,[],2021-10-12T07:22:47.259661Z,VK5Q1 and SV1QVE survey,False,[]
ZJER-5082-9774-9829-7564,47966.0,,CENTAURI-3,TYVAK-0210,satellites/centauri-3__1.jpg,alive,,2021-03-22T00:00:00Z,,,None,US,[],2021-10-12T07:22:47.299094Z,VK5Q1 and SV1QVE survey,False,[]
CHKH-0088-8886-9724-9925,46292.0,,"3CAT-5/A, FSSCat A",TYVAK 0161,,alive,,2020-09-03T00:00:00Z,,,None,ES,[],2021-10-12T07:22:47.224048Z,VK5Q1 and SV1QVE survey,False,[]
RUYP-2313-1334-2151-0421,43439.0,,ZHUHAI-1 OHS-01,,satellites/ohs-2__1_HwUR4s3.jpg,alive,,,,,None,CN,[],2021-10-12T07:22:47.098875Z,VK5Q1 and SV1QVE survey,False,[]
AXOY-3392-7797-5947-0612,43443.0,,ZHUHAI-1 OHS-04,,satellites/ohs-2__1_Vd2S3vc.jpg,alive,,,,,None,CN,[],2021-10-12T07:22:47.161889Z,VK5Q1 and SV1QVE survey,False,[]
HWLQ-5406-6378-8477-0098,43440.0,,ZHUHAI-1 OVS-02,OVS-02,satellites/ovs-1__1.jpg,alive,,2017-06-15T00:00:00Z,,,None,CN,[],2021-10-12T08:06:13.872515Z,VK5Q1 and SV1QVE survey,False,[]
NVBA-2697-9662-8655-9215,99519.0,49277.0,SPACE HAUC-1,,,re-entered,2022-04-11T00:00:00Z,,,https://www.uml.edu/Research/LoCSST/Research/spacehauc/,None,,[],2022-07-22T14:29:33.640755Z,"per space-track.org  and was  idietified as NORAD 49278 -- >""49278"",""49278"",""SPACE HAUC"",""1998-067SX"",""1998-067SX"",""0"",""MEDIUM"",""US"",""2022-04-15 05:44:00"",""2022-04-11 0:00:00"",""decay_msg"",""Historical"",""2""",True,[]
MZIS-9467-7863-2777-4468,40320.0,,FO-82,SHIN'EN 2 Fuji Oscar 82,satellites/shin-en2-satellite.png,alive,,2014-12-03T00:00:00Z,,https://www.amsat.org/two-way-satellites/shinen-2/,None,JP,[],2021-11-07T15:21:58.612117Z,https://space.skyrocket.de/doc_sdat/shinen-2.htm,False,[]
IPSN-3047-6555-3965-1864,44499.0,,GLOBAL-4,BlackSky Global 4,satellites/blacksky-global__2.jpg,alive,,2019-08-19T00:00:00Z,,,None,US,[],2021-10-14T08:48:01.826554Z,VK5Q1 and SV1QVE survey,False,[]
HVOW-5878-6353-9441-4379,43744.0,,HIBER-1,,satellites/hiber-1__3.jpg,alive,,2018-11-29T00:00:00Z,,,None,NL,[],2021-10-14T08:48:01.719430Z,VK5Q1 and SV1QVE survey,False,[]
XCTG-7337-9615-0882-4390,40299.0,,HODOYOSHI-1,,satellites/hodoyoshi-1__1.jpg,alive,,2014-11-06T00:00:00Z,,,None,JP,[],2021-10-14T08:48:01.503704Z,VK5Q1 and SV1QVE survey,False,[]
RIQF-9172-1148-5465-6016,44705.0,,HUANGPU-1,,satellites/huangpu-1__1.jpg,alive,,2019-11-03T00:00:00Z,,,None,CN,[],2021-10-14T08:48:01.847851Z,VK5Q1 and SV1QVE survey,False,[]
