name,norad_id,uplink,downlink,beacon,mode,callsign,status,satnogs_id
AO-10,14129,435.030-146.180,145.975-145.825,145.810,SSB CW,,inactive,WAGS-8572-2494-3083-1675
AO-13,19216,435.423-435.573,145.975-145.825,145.812,SSB CW,,re-entered,
AO-16,20439,145.920,437.026,,FM USB,,inactive,BWUQ-1126-2556-9888-6948
AO-16,20439,145.920,437.026,2401.143,1200bps JAS,PACSAT-11 12,inactive,BWUQ-1126-2556-9888-6948
AO-21,21087,,145.800,145.822,1200bps BPSK CW,,inactive,
AO-24,22654,,145.975,2446.540,1200bps AFSK,,inactive,
AO-27,22825,145.850,436.795,,1200bps AFSK FM,,active,XTDR-0995-4168-5549-5936
AO-37,26065,145.960/145.980,435.700,,9600bps FSK,,inactive,
AO-40,26609,,,2401.323,400bps PSK,,inactive,VMIE-3340-5003-6094-2811
AO-49,27605,435.275,145.825,,U/1200 D/9600 MSK,,inactive,
AO-51,28375,145.920,435.300,435.150,FM tone 67.0Hz,,inactive,
AO-51,28375,145.860/145.880,2401.200,435.150,9600bps FSK,PECHO-11 12,inactive,
AO-51,28375,1268.700,435.150,,9600bps FSK,PACB-11 12,inactive,
AO-54,28933,,145.990,,FM,,unknown,
AO-71,37854,,437.475,437.473,1200bps AFSK CW,,re-entered,
AO-73,39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,,active,OTOF-8025-8953-4756-4779
AO-85,40967,435.182,145.980,145.980,FM CTCSS 67.0Hz/200bps DUV,,inactive,VQGN-3314-0779-1450-1457
AO-91,43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,active,PMAW-9203-2442-8666-3249
AO-92,43137,435.350/1267.350,145.880,145.880,FM CTCSS 67.0Hz/200bps DUV,,re-entered,FVKF-5969-0532-6737-5899
AO-95,43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV*,,inactive,KHIK-6754-7801-4022-8938
AO-109,47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW*,,re-entered,XQDI-8444-4243-4320-9055
AO-123,61781,145.875,435.400/436.210/10460.000,,9k6BPSK NBFM QSPK FM,RS64S BJ2CR,active,REOO-2119-3738-4964-1579
APEX-ARIES-1,59129,,401.075,,FM,,unknown,NYZJ-8632-3700-9779-7966
AprizeSat-1,28372,,,,,,non-amateur,
AprizeSat-2,28366,,,,,,non-amateur,
AprizeSat-3,35686,,,,,,non-amateur,
AprizeSat-4,35684,,,,,,non-amateur,
AprizeSat-5,37792,,,,,,non-amateur,
AprizeSat-6,37793,,400.591,,9600bps GMSK,,non-amateur,GARM-1563-5597-4412-1588
AprizeSat-7,39416,,400.585,,9600bps GMSK,,non-amateur,UISA-7569-4916-7535-5038
AprizeSat-8,39425,,400.553,,9600bps GMSK,,non-amateur,WNBG-5222-9642-7959-5062
AprizeSat-9,40018,,400.552,,9600bps GMSK,,non-amateur,EIXA-7920-3563-3042-5758
AprizeSat-10,40019,,400.573,,9600bps GMSK,,non-amateur,AMDP-5293-8569-5719-3637
APSS-1,46932,,435.100,,9600bps GMSK,,unknown,
AQT-D,44791,,,,,,re-entered,VWJO-7516-8563-9331-1420
ARCADE,57485,,437.760,,9600bps GFSK,,inactive,
ARCE-1A,47616,,2417.000/2449.2815,,BPSK QPSK FSK,,inactive,RTJS-5934-2708-0606-3655
ARCE-1B,47615,,2417.000/2449.2815,,BPSK QPSK FSK,,inactive,RGVR-1508-3946-9191-6047
ARCE-1C,47484,,2417.000/2449.2815,,BPSK QPSK FSK,,inactive,CQTB-2023-3748-6705-2879
ArcCube-01,57205,,437.600,,2k4*-9k6 GMSK_USP,RS25S,unknown,WWBP-0562-9795-1786-4397
ARCSAT,52161,,267.300,,FM,,inactive,ROIC-1992-5104-6062-9006
ArcticSat-1,61762,,435.890,,2k4 GMSK_USP SSTV,RS74S,active,XZIQ-7009-4472-3546-4651
ARC-1,40969,,437.565,2440.500,9600bps 1Mbps CW,,re-entered,
Arduiqube,47963,,437.125,437.125,500bdRTTY 500bd FSK CW,,re-entered,UVHJ-3379-3188-8525-8707
ArduSat-1,39412,,437.325,437.000,9600bps MSK CW,WG9XFC-1,re-entered,
ArduSat-2,39570,,437.xxx,,9600bps MSK CCSDS,WG9XFC-2,re-entered,
ArduSat-X,39414,,437.345,437.007,9600bps MSK CW,WG9XFC-X,re-entered,
ARGOS-4,54023,,465.988/1.703GHz,,QPSK,,active,FSSK-6949-2964-0842-4335
Argus,,,2403.000-2403.400,437.290,1200bps AFSK,,failure,
Argus-2,45257,,437.290,,9600bps GMSK,,re-entered,GFHE-3541-7447-2114-2770
ARISSat-1,37772,435.742-435.758,145.938-145.922,145.919,FM linear/inverting,,re-entered,
ARISSat-1,37772,,145.950,,FM SSTV Telemetry,,re-entered,
ARISSat-1,37772,,145.918,145.919,BPSK-1000/CW,RS01S,re-entered,
ARISSat-1,37772,,145.939,145.939,BPSK-400/CW,,re-entered,
ARKSAT-1,56311,,435.450,,9600bps FSK,,re-entered,
Armadillo,44352,,437.525,,19k2*/38k4 GMSK,KE5DTW,re-entered,RHUX-5355-9162-3098-2723
ARTSAT1-INVADER,39577,,437.200,437.325,1k2AFSK DigiTalker CW,JQ1ZKK,re-entered,
ARTSAT2-DESPATCH,40321,,437.325,437.325,CW,JQ1ZNN,deep space,
ASELSAT,47441,,436.950,,,,unknown,NMOX-2963-9472-2945-7229
ASRTU-1,61781,145.850*/145.875,435.400*/436.210/10460.000,,9k6BPSK NBFM QSPK FM,RS64S BJ2CR,active,REOO-2119-3738-4964-1579
AstroBio,53107,435.600,435.600/437.425*,IU0SIA,9600bps FSK Digipeater,,inactive,EGHR-0762-2641-1740-1019
Astrocast-0.1,43798,,437.150/2403.000,,1200bps FSK,HB9GSF,active,QSPU-9204-4923-5881-5072
Astrocast-0.2,44083,,437.175/2406.000,,1200bps FSK,HB9GSF,re-entered,PEJT-8424-9765-0690-4476
Astrocast-0101,47430,,,,,,unknown,BDLJ-2616-4411-1398-7647
