satellite,number,uplink,downlink,beacon,mode,callsign
CubeBel-1(BSUSat-1),43666,436.200,436.200/436.990*,,4k8/9k6* GMSK Digipeater,EU10S
CubeBug-2 (LO-74),39440,,437.445,,1k2AFSK 9k6*FSK,CUBEB2-6
CubeSX-HSE,47952,,435.650/10455.000,,9k6FSK/DVB-S2,RS13S
CubeSX-HSE-2 (SXC3-213 HSE-AIS),53383,,435.570,,2400bps GMSK USP,RS21S
CubeSX-Sirius-HSE,47951,,437.050/10465.000,,2k4/9k6*FSK/DVB-S2,RS14S
CUTE,49263,,437.250/2402.000,,9k6*/19k2GMSK 1MbpsBPSK,CUTE
CUTE-I (CO-55),27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY
CUTE1.7+APDII (CO-65),32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC
DCBB (CAS-3G KAITUO-1B),40912,,145.475*/437.950,,9k6* GMSK,BJ1SH
DEKART,46493,,437.000,,4800bps mobitex,
DELFI-C3 (DO-64),32789,,145.870,,1200bps BPSK,DLFIC3
Delfi-PQ,51074,,436.650,,1k2*/2k4/19k2 FSK,DLFIPQ
DHABISAT (MYSAT-2),49017,,436.908,,1200bps BPSK,A68MX
Diwata-2 (PO-101),43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH
DIY-1 (Arduiqube DO-111),47963,,437.125,437.125,100bdRTTY 500*bdFSK CW,CONDOL
DOSAAF-85 (RS-44),44909,145.935-145.995,435.670-435.610,435.605,SSB CW FT4,RS44
DO-64 (DELFI-C3),32789,,145.870,,1200bps BPSK,DLFIC3
DO-111 (DIY-1 Arduiqube),47963,,437.125,437.125,50/100*bdRTTY 500bdFSK CW,
Duchifat-1,40021,435.220,145.825/145.980,145.980,1200bps BPSK CW,4X4HSL
D-Star ONE iSat,43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS
D-Star ONE Sparrow,43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS
E1P-U2,37855,437.305,437.498,,1200bps AFSK_USBreceive,K7MSU-1
Egycubesat-1 (NARSScube-1),,,,437.970,CW,
EO-88 (FUNcube-5 Nayif-1),42017,435.015-435.045,145.990-145.960,145.940,1200bps BPSK SSB,
Es'Hail-2 (Phase-4A QO-100),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,
E-ST@R-II,41459,,437.485,437.485,1200bps AFSK CW,E-STAR-II
FacSat-1,43721,,437.350,,9600bps MSK,
FalconSAT-3,30776,145.840,435.103,,9600bps GMSK,PFS3-11 12
FEES-2,51441,,145.000/437.200*,,9600bps FSK 125k LoRa*,
FIREBIRD-3,40377,,437.396*/437.405,,19200bps FSK,K7MSU
FIREBIRD-4,40378,,437.219*/437.230,,19200bps FSK,K7MSU
FMN-1 (FengMaNiu-1),43192,145.945,435.350,,9600*bps BPSK FM,BUAABJ
FossaSat-2E1,50985,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E2,50984,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E3,50990,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E4,50987,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E5,51001,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E6,50991,,401.700,,9600bps GFSK 125k LoRa*,
