satellite,number,uplink,downlink,beacon,mode,callsign
XW-2D (CAS-3D),40907,435.210-435.230,145.880-145.860,145.835/145.855,9k6/19k2 GMSK/CW*,BJ1SE
XW-2E (CAS-3E),40909,435.270-435.290,145.935-145.915,145.890/145.910,9k6 GMSK/CW*,BJ1SF
XW-2F (CAS-3F),40910,435.330-435.350,146.000-145.980,145.955/145.975,9k6 GMSK/CW*,BJ1SG
XW-3 (CAS-9 HO-113),50466,145.870,435.180,,VHF/UHF SSB*,
XW-3 (CAS-9 HO-113),50466,,,435.575,UHF CW*,
XW-3 (CAS-9 HO-113),50466,,435.725,,4k8*GMSK telemetry,CAS9
Yarilo-1,46490,,435.350,,,
Yarilo-2,46490,,435.550,,,
ZACube-1,39417,145.860,437.355,14.099,1k2AFSK/9k6* GMSK CW,123456
Zhou Enlai (Huai'An-1 HA-1),43156,145.930,436.950,437.350/437.644*,FM 9600bps BPSK,BI4ST
Z-Sat,49399,435.480,145.875,145.875,9k6GMSK FM CW*,JJ2YPO
